编号|歌名|歌手|语别|类别|拼音|字数|笔画|新歌|版本|原唱音轨|音量|点击率|时长
35000124|我是不是你最疼爱的人[李代沫]|中国好声音|1|1|WSBSNZTADR|10|3212324333|1|1|0|60|0|00:00
35000125|我最亲爱的(MTV)[李代沫]|中国好声音|1|1|WZQAD|5|32433|1|1|0|60|0|00:00
35000126|消失的光(MTV)[李行亮]|中国好声音|1|1|XSDG|4|4332|1|1|0|60|0|00:00
35000127|愿得一人心(MTV)[李行亮]|中国好声音|1|1|YDYRX|5|13134|1|1|0|60|0|00:00
35000128|我想你了(MTV)[李维真]|中国好声音|1|1|WXNL|4|3135|1|1|0|60|0|00:00
35000129|我要去红河(MTV)[李维真]|中国好声音|1|1|WYQHH|5|31154|1|1|0|60|0|00:00
35000130|爱要有你才完美[梁博/那英]|中国好声音|1|1|AYYNCWM|7|3113144|1|1|0|60|0|00:00
35000131|回来[梁博]|中国好声音|1|1|HL|2|21|1|1|0|60|0|00:00
35000132|私奔[梁博]|中国好声音|1|1|SB|2|31|1|1|0|60|0|00:00
35000133|我爱你中国[梁博]|中国好声音|1|1|WANZG|5|33322|1|1|0|60|0|00:00
35000134|像个孩子[梁博]|中国好声音|1|1|XGHZ|4|3355|1|1|0|60|0|00:00
35000135|FeelingGood[刘悦]|中国好声音|4|1|FG|2|0|1|1|0|60|0|00:00
35000136|缘来是你(MTV)[龙梅子/黄勇]|中国好声音|1|1|YLSN|4|5123|1|1|0|60|0|00:00
35000138|过火[你我及他组合]|中国好声音|1|1|GH|2|14|1|1|0|60|0|00:00
35000139|不要告别[平安/倪雅丰]|中国好声音|1|1|BYGB|4|1132|1|1|0|60|0|00:00
35000140|洋葱[平安]|中国好声音|1|1|YC|2|41|1|1|0|60|0|00:00
35000141|我的歌声里(MTV)[曲婉婷/李代沫]|中国好声音|1|1|WDGSL|5|33112|1|1|0|60|0|00:00
35000142|爱伤了(MTV)[任贤齐/金池]|中国好声音|1|1|ASL|3|335|1|1|0|60|0|00:00
35000143|天天想你[汪洋]|中国好声音|1|1|TTXN|4|1113|1|1|0|60|0|00:00
35000144|让我一次爱个够[吴莫愁/庾澄庆]|中国好声音|1|1|RWYCAGG|7|4314333|1|1|0|60|0|00:00
35000145|Price Tag(MTV)[吴莫愁]|中国好声音|4|1|PTM|2|0|1|1|0|60|0|00:00
35000146|Price Tag[吴莫愁]|中国好声音|1|1|PW|1|0|1|1|0|60|0|00:00
35000147|爱是怀疑[吴莫愁]|中国好声音|1|1|ASHY|4|3243|1|1|0|60|0|00:00
35000148|改变自己[吴莫愁]|中国好声音|1|1|GBZJ|4|5435|1|1|0|60|0|00:00
35000149|流星雨[吴莫愁]|中国好声音|1|1|LXY|3|421|1|1|0|60|0|00:00
35000150|痒[吴莫愁]|中国好声音|1|1|Y|1|4|1|1|0|60|0|00:00
